image_name,lat,lon,geometry,index_right
28.2056_76.8558.png,28.2056,76.8558,POINT (93110.1832241413 3126940.842381583),0
28.2056_76.8646.png,28.2056,76.8646,POINT (93975.02981162816 3126911.2561693112),0
28.2056_76.8734.png,28.2056,76.8734,POINT (94839.87106457737 3126881.7332521495),23
28.2056_76.8822.png,28.2056,76.8822,POINT (95704.70699433371 3126852.2736275145),23
28.2056_76.8910.png,28.2056,76.891,POINT (96569.53761225089 3126822.87729283),23
28.2056_76.8943.png,28.2056,76.8943,POINT (96893.84772682632 3126811.8699837383),23
28.2056_76.9057.png,28.2056,76.9057,POINT (98014.18603224104 3126773.9132091347),23
28.2056_76.9145.png,28.2056,76.9145,POINT (98879.00252074708 3126744.6858747983),23
28.2056_76.9233.png,28.2056,76.9233,POINT (99743.81373906473 3126715.521821001),23
28.2056_76.9321.png,28.2056,76.9321,POINT (100608.61969854863 3126686.4210451925),23
28.2056_76.9409.png,28.2056,76.9409,POINT (101473.42041054321 3126657.383544827),23
28.2056_76.9443.png,28.2056,76.9443,POINT (101807.5465553932 3126646.181456499),23
28.2056_76.9558.png,28.2056,76.9558,POINT (102937.67331990262 3126608.362039518),23
28.2056_76.9646.png,28.2056,76.9646,POINT (103802.45995590102 3126579.49493881),23
28.2056_76.9734.png,28.2056,76.9734,POINT (104667.24138632434 3126550.691104193),23
28.2056_76.9822.png,28.2056,76.9822,POINT (105532.01762252307 3126521.950533148),23
28.2056_76.9910.png,28.2056,76.991,POINT (106396.78867584624 3126493.273223161),23
28.2056_76.9944.png,28.2056,76.9944,POINT (106730.90337896871 3126482.2102954504),23
28.2056_77.0058.png,28.2056,77.0058,POINT (107851.16469960415 3126445.185859022),23
28.2056_77.0146.png,28.2056,77.0146,POINT (108715.92190942948 3126416.6781913238),23
28.2056_77.0234.png,28.2056,77.0234,POINT (109580.67397816363 3126388.233775476),23
28.2056_77.0322.png,28.2056,77.0322,POINT (110445.42091715703 3126359.852608992),23
28.2056_77.0410.png,28.2056,77.041,POINT (111310.16273775883 3126331.53468939),23
28.2056_77.0443.png,28.2056,77.0443,POINT (111634.43960321636 3126320.9317748705),23
28.2056_77.0557.png,28.2056,77.0557,POINT (112754.66325735126 3126284.3719532676),23
28.2056_77.0645.png,28.2056,77.0645,POINT (113619.39146514243 3126256.2229194655),23
28.2056_77.0733.png,28.2056,77.0733,POINT (114484.11459620047 3126228.1371234832),23
28.2056_77.0821.png,28.2056,77.0821,POINT (115348.83266187058 3126200.114562863),23
28.2056_77.0909.png,28.2056,77.0909,POINT (116213.54567350727 3126172.155235156),23
28.2056_77.0944.png,28.2056,77.0944,POINT (116557.46421903139 3126161.0526234945),23
28.2056_77.1058.png,28.2056,77.1058,POINT (117677.65053128998 3126124.9591754824),23
28.2056_77.1146.png,28.2056,77.1146,POINT (118542.3499879291 3126097.170133361),23
28.2056_77.1234.png,28.2056,77.1234,POINT (119407.04443245009 3126069.444315151),23
28.2056_77.1322.png,28.2056,77.1322,POINT (120271.73387619742 3126041.7817184264),23
28.2056_77.1410.png,28.2056,77.141,POINT (121136.41833052546 3126014.182340769),23
28.2056_77.1443.png,28.2056,77.1443,POINT (121460.67371687858 3126003.8488723207),23
28.2056_77.1557.png,28.2056,77.1557,POINT (122580.82331002114 3125968.21983444),23
28.2056_77.1645.png,28.2056,77.1645,POINT (123445.49449594738 3125940.789268616),23
28.2056_77.1733.png,28.2056,77.1733,POINT (124310.16073410836 3125913.421913029),18
28.2056_77.1821.png,28.2056,77.1821,POINT (125174.82203585492 3125886.1177652865),23
28.2056_77.1909.png,28.2056,77.1909,POINT (126039.47841253661 3125858.876822999),24
28.2056_77.1943.png,28.2056,77.1943,POINT (126373.54887782165 3125848.368840673),24
28.2056_77.2058.png,28.2056,77.2058,POINT (127503.4876711024 3125812.897058036),24
28.2056_77.2146.png,28.2056,77.2146,POINT (128368.1308401323 3125785.8263277058),24
28.2056_77.2234.png,28.2056,77.2234,POINT (129232.76912601321 3125758.8187940633),24
28.2056_77.2322.png,28.2056,77.2322,POINT (130097.40254009492 3125731.8744547474),24
28.2056_77.2410.png,28.2056,77.241,POINT (130962.0310937271 3125704.9933074014),24
28.2056_77.2444.png,28.2056,77.2444,POINT (131296.09082650294 3125694.6243331525),24
28.2056_77.2558.png,28.2056,77.2558,POINT (132416.16818603955 3125659.9266068856),24
28.2056_77.2646.png,28.2056,77.2646,POINT (133280.7837608626 3125633.2149173296),24
28.2056_77.2734.png,28.2056,77.2734,POINT (134145.39451702364 3125606.5664111185),24
28.2056_77.2822.png,28.2056,77.2822,POINT (135010.00046587223 3125579.9810859235),24
28.2056_77.2910.png,28.2056,77.291,POINT (135874.601618758 3125553.4589394196),24
28.2056_77.2943.png,28.2056,77.2943,POINT (136198.82581694843 3125543.529422264),24
28.2056_77.3057.png,28.2056,77.3057,POINT (137318.86787848477 3125509.2958089705),24
28.2056_77.3145.png,28.2056,77.3145,POINT (138183.4562795933 3125482.942366943),24
28.2056_77.3233.png,28.2056,77.3233,POINT (139048.0399264003 3125456.652095124),24
28.2056_77.3321.png,28.2056,77.3321,POINT (139912.61883025104 3125430.424991214),24
28.2056_77.3409.png,28.2056,77.3409,POINT (140777.1930025001 3125404.2610529233),24
28.2056_77.3444.png,28.2056,77.3444,POINT (141121.05641743547 3125393.8724979283),24
28.2056_77.3558.png,28.2056,77.3558,POINT (142241.06351510953 3125360.104760976),24
28.2056_77.3646.png,28.2056,77.3646,POINT (143105.62500073115 3125334.110927818),24
28.2056_77.3734.png,28.2056,77.3734,POINT (143970.18179666856 3125308.180251859),24
28.2056_77.3822.png,28.2056,77.3822,POINT (144834.73391426646 3125282.3127308316),24
28.2056_77.3910.png,28.2056,77.391,POINT (145699.28136487975 3125256.5083624753),24
28.2056_77.3943.png,28.2056,77.3943,POINT (146023.4854579678 3125246.848005429),24
28.2056_77.4057.png,28.2056,77.4057,POINT (147143.45820507046 3125213.544189928),24
28.2056_77.4145.png,28.2056,77.4145,POINT (148007.99324833084 3125187.908456869),17
28.2056_77.4233.png,28.2056,77.4233,POINT (148872.5236662638 3125162.3358682287),24
28.2056_77.4321.png,28.2056,77.4321,POINT (149737.04947021924 3125136.826421772),24
